origin_iata,destination_iata,distance_km,est_duration_min,optional_price,source
BKO,TUN,3255.051,273.174,,openflights
BKS,BTH,588.516,78.062,,openflights
BKZ,MWZ,174.816,47.791,,openflights
BLA,PTY,1614.757,153.153,,openflights
BLI,LAS,1536.258,147.409,,openflights
BLK,AGP,1904.458,174.351,,openflights
BLK,FAO,1901.637,174.144,,openflights
BLL,AGP,2356.127,207.400,,openflights
BLL,AHO,1681.134,158.010,,openflights
BLL,ALC,2071.465,186.571,,openflights
BLL,CFU,1961.738,178.542,,openflights
BLL,CIA,1570.065,149.883,,openflights
BLL,CPH,220.094,51.104,,openflights
BLL,LCY,761.636,90.729,,openflights
BLL,OSL,499.786,71.570,,openflights
BLL,RIX,921.080,102.396,,openflights
BLL,STN,724.689,88.026,,openflights
BLQ,BDS,694.559,85.821,,openflights
BLQ,EDI,1635.632,154.680,,openflights
BLQ,IAS,1295.860,129.819,,openflights
BLQ,LGW,1126.698,117.441,,openflights
BLQ,PMO,722.903,87.895,,openflights
BLQ,STN,1154.660,119.487,,openflights
BLQ,SUF,748.619,89.777,,openflights
BLQ,TIA,768.227,91.212,,openflights
BLQ,VIE,567.609,76.532,,openflights
BLR,AMD,1221.888,124.406,,openflights
BLR,AUH,2723.103,234.251,,openflights
BLR,BOM,834.163,96.036,,openflights
BLR,CMB,710.219,86.967,,openflights
BLR,DEL,1710.049,160.126,,openflights
BLR,JAI,1527.960,146.802,,openflights
BLR,LKO,1544.116,147.984,,openflights
BLR,PNQ,722.687,87.880,,openflights
BME,DRW,1112.603,116.410,,openflights
BMI,DFW,1110.237,116.237,,openflights
BMY,GEA,405.991,64.707,,openflights
BNA,AUS,1215.976,123.974,,openflights
BNA,BWI,943.646,104.047,,openflights
BNA,CLT,527.791,73.619,,openflights
BNA,LAS,2548.862,221.502,,openflights
BNA,MCI,789.620,92.777,,openflights
BNA,MCO,993.000,107.659,,openflights
BNA,TTN,1133.685,117.953,,openflights
BND,RAS,1289.982,129.389,,openflights
BND,SRY,1089.237,114.700,,openflights
BND,TBZ,1538.718,147.589,,openflights
BNE,CTL,688.197,85.356,,openflights
BNE,DRW,2850.739,243.591,,openflights
BNE,EMD,652.413,82.738,,openflights
BNE,HNL,7552.439,587.617,,openflights
BNE,LDH,738.893,89.065,,openflights
BNE,MEL,1380.854,136.038,,openflights
BNE,TSV,1112.260,116.385,,openflights
BNE,ZQN,2401.225,210.699,,openflights
BNN,SSJ,56.307,39.120,,openflights
BOB,MAU,52.616,38.850,,openflights
BOC,PAC,298.681,56.855,,openflights
BOD,AGP,960.708,105.296,,openflights
BOD,CDG,527.142,73.571,,openflights
BOD,CIA,1126.807,117.449,,openflights
BOD,CLY,805.891,93.968,,openflights
BOD,LIL,698.088,86.080,,openflights
BOD,MRS,498.208,71.454,,openflights
BOD,MUC,1031.065,110.444,,openflights
BOD,MXP,744.462,89.473,,openflights
BOD,TUN,1276.201,128.381,,openflights
BOG,AUA,978.884,106.626,,openflights
BOG,CDG,8644.694,667.539,,openflights
BOG,CUN,2277.750,201.665,,openflights
BOG,LET,1093.780,115.033,,openflights
BOG,MIA,2434.892,213.163,,openflights
BOG,PDA,698.389,86.102,,openflights
BOG,PUJ,1664.849,156.818,,openflights
BOG,SCL,4250.684,346.026,,openflights
BOG,SDQ,1602.146,152.230,,openflights
BOG,UIO,712.226,87.114,,openflights
BOH,AGP,1582.601,150.800,,openflights
BOH,CHQ,2681.125,231.180,,openflights
BOJ,BRU,1973.070,179.371,,openflights
BOJ,LTN,2326.668,205.244,,openflights
BOM,AGR,1036.910,110.871,,openflights
BOM,BDQ,363.024,61.563,,openflights
BOM,CDG,6993.626,546.729,,openflights
BOM,HYD,622.839,80.574,,openflights
BOM,IXE,714.752,87.299,,openflights
BOM,JNB,6963.999,544.561,,openflights
BOM,LHR,7213.041,562.783,,openflights
BOM,MRU,4695.333,378.561,,openflights
BOM,NRT,6786.191,531.551,,openflights
BOM,SAH,3064.635,259.242,,openflights
BOM,TRV,1257.707,127.027,,openflights
BOM,UDR,623.877,80.650,,openflights
BOO,MJF,172.822,47.645,,openflights
BOO,SVJ,109.067,42.981,,openflights
BOS,ACK,146.290,45.704,,openflights
BOS,ACY,441.009,67.269,,openflights
BOS,CDG,5534.268,439.946,,openflights
BOS,CLE,903.305,101.096,,openflights
BOS,FCO,6568.678,515.635,,openflights
BOS,MAD,5474.383,435.565,,openflights
BOS,NRT,10760.785,822.375,,openflights
BOS,RAI,5450.944,433.850,,openflights
BOS,SJC,4316.669,350.854,,openflights
BOS,SYR,424.727,66.078,,openflights
BPL,URC,425.400,66.127,,openflights
BPN,KUL,1745.908,162.749,,openflights
BPN,PLW,337.551,59.699,,openflights
BPS,CGH,1124.184,117.257,,openflights
BQL,ISA,253.695,53.563,,openflights
BQS,KHV,599.767,78.885,,openflights
BRE,ADB,2161.850,193.184,,openflights
BRE,CPH,380.181,62.818,,openflights
BRE,HAU,734.172,88.720,,openflights
